id,word
1629,시집
1630,시청
1631,시청률
1632,시청자
1633,시합
1634,시험
1635,식구
1636,식기
1637,식당
1638,식량
1639,식료품
1640,식물
1641,식빵
1642,식사
1643,식생활
1644,식욕
1645,식용유
1646,식초
1647,식탁
1648,식품
1649,식품점
1650,신
1651,신경
1652,신고
1653,신규
1654,신념
1655,신랑
1656,신문
1657,신문사
1658,신문지
1659,신발
1660,신부
1661,신분
1662,신비
1663,신사
1664,신설
1665,신세
1666,신세대
1667,신용
1668,신인
1669,신입생
1670,신제품
1671,신청
1672,신청서
1673,신체
1674,신체적
1675,신호
1676,신호등
1677,신혼부부
1678,신혼여행
1679,신화
1680,실
1681,실감
1682,실내
1683,실력
1684,실례
1685,실망
1686,실수
1687,실습
1688,실시
1689,실장
1690,실정
1691,실제
1692,실질적
1693,실천
1694,실체
1695,실태
1696,실패
1697,실험
1698,실현
1699,심리
1700,심리적
1701,심부름
1702,심사
1703,심장
1704,심정
1705,심판
1706,십이월
1707,십일월
1708,싸구려
1709,싸움
1710,싼값
1711,쌀
1712,쌍
1713,쌍둥이
1714,쓰레기
1715,쓰레기통
1716,쓴맛
1717,씨
1718,씨름
1719,씨앗
1720,아가씨
1721,아기
1722,아까
1723,아나운서
1724,아내
1725,아드님
1726,아들
1727,아래
1728,아래쪽
1729,아래층
1730,아랫사람
1731,아르바이트
1732,아무것
1733,아버님
1734,아버지
1735,아빠
1736,아쉬움
1737,아스팔트
1738,아이
1739,아이디어
1740,아이스크림
1741,아저씨
1742,아주머니
1743,아줌마
1744,아침
1745,아파트
1746,아픔
1747,악기
1748,악몽
1749,악수
1750,안
1751,안개
1752,안경
1753,안과
1754,안내
1755,안방
1756,안부
1757,안전
1758,안정
1759,안주
1760,안쪽
1761,안팎
1762,알
1763,알루미늄
1764,알코올
1765,암
1766,암시
1767,암컷
1768,압력
1769,앞
1770,앞길
1771,앞날
1772,앞뒤
1773,앞문
1774,앞바다
1775,앞쪽
1776,애
1777,애인
1778,애정
1779,애초
1780,액세서리
1781,액수
1782,앨범
1783,야간
1784,야구
1785,야구장
1786,야단
1787,야외
1788,야채
1789,약
1790,약간
1791,약국
1792,약속
1793,약수
1794,약점
1795,약품
1796,약혼녀
1797,약혼자
1798,양
1799,양국
1800,양념
1801,양력
1802,양말
1803,양배추
1804,양보
1805,양복
1806,양상추
1807,양식
1808,양심
1809,양옆
1810,양주
1811,양쪽
1812,양파
1813,얘기
1814,어깨
